,Month,Passengers In,Freight In,Passengers Out,Freight Out
260,2009-03-01,2050.0,45.883,1900.0,18.194
261,2009-03-01,3365.0,54.174,3138.0,156.178
262,2009-03-01,9008.0,128.524,10140.0,139.654
263,2009-03-01,0.0,0.0,0.0,0.0
264,2009-03-01,2076.0,1.989,2148.0,13.676
265,2009-03-01,53301.0,1312.128,50755.0,1407.354
266,2009-03-01,3746.0,26.754,3566.0,53.774
267,2009-03-01,0.0,0.0,0.0,0.0
268,2009-03-01,37462.0,1564.592,37446.0,2025.173
269,2009-03-01,6796.0,91.569,6511.0,71.962
270,2009-03-01,4084.0,72.9,3993.0,212.109
271,2009-03-01,15817.0,376.534,18639.0,114.616
272,2009-03-01,37167.0,1615.147,43585.0,471.386
273,2009-03-01,4398.0,45.084,4667.0,115.841
274,2009-03-01,1579.0,54.835,904.0,50.094
275,2009-03-01,0.0,136.979,0.0,207.337
276,2009-03-01,87665.0,4621.113,88818.0,4850.947
277,2009-03-01,361.0,4.746,435.0,4.56
278,2009-03-01,4771.0,30.42,4256.0,143.858
279,2009-03-01,0.0,290.742,0.0,264.383
280,2009-03-01,35488.0,1387.495,32040.0,2473.414
281,2009-03-01,4086.0,0.0,3947.0,0.0
282,2009-03-01,15491.0,79.28,18085.0,494.153
283,2009-03-01,0.0,0.0,0.0,5.695
284,2009-03-01,0.0,0.0,0.0,97.25
285,2009-03-01,0.0,958.958,0.0,0.0
286,2009-03-01,3308.0,106.712,4649.0,86.1
287,2009-03-01,8062.0,193.453,6829.0,164.282
288,2009-03-01,3250.0,462.407,2551.0,236.122
289,2009-03-01,2692.0,35.29,3992.0,29.653
290,2009-03-01,8253.0,5.005,8230.0,29.633
291,2009-03-01,7105.0,0.0,7149.0,0.0
292,2009-03-01,36886.0,34.521,33860.0,37.332
293,2009-03-01,835.0,0.0,923.0,7.492
294,2009-03-01,837.0,0.0,757.0,3.739
295,2009-03-01,666.0,1.181,729.0,2.896
296,2009-03-01,2433.0,2.319,2303.0,6.36
297,2009-03-01,1593.0,0.51,1452.0,1.187
298,2009-04-01,1809.0,3.855,1449.0,9.093
299,2009-04-01,2192.0,41.002,2296.0,71.651
300,2009-04-01,12.0,0.0,52.0,1.847
301,2009-04-01,346.0,1.479,329.0,1.306
302,2009-04-01,3691.0,4.241,3569.0,87.188
303,2009-04-01,4464.0,250.357,5822.0,226.175
304,2009-04-01,0.0,0.0,0.0,0.0
305,2009-04-01,9250.0,352.109,8470.0,165.912
306,2009-04-01,1456.0,28.999,1787.0,45.323
307,2009-04-01,96785.0,1248.674,90610.0,1195.498
308,2009-04-01,7757.0,67.191,7714.0,216.993
309,2009-04-01,13254.0,252.171,14353.0,198.408
310,2009-04-01,39.0,0.0,164.0,0.0
311,2009-04-01,3324.0,21.077,3536.0,39.473
312,2009-04-01,18647.0,169.696,18466.0,28.326
